Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),val_transfer,CurrentValue @ $1980.49/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x6ced046afc5a74abeec3a75089765fb160674d8d3c5a1702aca477fcbe7db4b1,14505433,1648884626,4/2/2022 7:30,0x26577193c143e14588f12c7fa63480feb3ad5dbc,0x832e4279012f34de383cd3bf262b167f6359a24b,,0.0488,0,0.0488,96.647912,0.000813797,1.611717689,3444.68,,,Transfer
0xd6ad3677e34ad9ad28e2fbd706a857335a24907235889ef90626695abc57126b,14506041,1648893278,4/2/2022 9:54,0x26577193c143e14588f12c7fa63480feb3ad5dbc,0x832e4279012f34de383cd3bf262b167f6359a24b,,0.2744,0,0.2744,543.446456,0.001093724,2.166110136,3444.68,,,Transfer
0xa077bc4708ef8390ab284f9b46051f0d68d7f43fb6ae2e8386663b122d341253,14506053,1648893428,4/2/2022 9:57,0x832e4279012f34de383cd3bf262b167f6359a24b,0xd3020a76939a832ab4cd3e366cecf14753087a61,,0,0.32,0.32,633.7568,0.000879593,1.742024397,3444.68,,,Transfer
0xa09c9a5627c1b3e83986bda220a14f8de7fc3b7c06a6f15b8fc6ed47ea1c9150,14591137,1650041798,4/15/2022 16:56,0xf45ce2ca19125208ba33b43e8d2042f663556fbc,0x832e4279012f34de383cd3bf262b167f6359a24b,,0.00178273,0,0.00178273,3.530678651,0.001202101,2.380749237,3041.21,,,Transfer
0x7d79ddcee045b89ecfa25b6eafd8f3bffd6c6c1f888b6453402e9c80f01eb9aa,14591324,1650044141,4/15/2022 17:35,0xd70319236bc1a64c5ae7386c8082dfbaeb4e5a65,0x832e4279012f34de383cd3bf262b167f6359a24b,,0.012076,0,0.012076,23.91639724,0.000807569,1.599382608,3041.21,,,Transfer
0xec14e96e7a9c584d5c903660ecb48e55bfe56e85406d83b26ca85ef7845aa24f,14591327,1650044192,4/15/2022 17:36,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x832e4279012f34de383cd3bf262b167f6359a24b,,0.01610516,0,0.01610516,31.89610833,0.000947522,1.876558645,3041.21,,,Transfer
0x01d4e51defb25b62ac78270e56aeb3b26cfc5ed9f762e9dbb5baf753b83929a0,14591331,1650044243,4/15/2022 17:37,0x832e4279012f34de383cd3bf262b167f6359a24b,0xdac17f958d2ee523a2206206994597c13d831ec7,,0,0,0,0,0.001707667,3.382017727,3041.21,,,Transfer
0x937d8feae9f8f58344bfd10d6d7b72f75a99832655dcff7b228106307733a824,14635282,1650638599,4/22/2022 14:43,0xbcce69052bb61c9ee9b96c71e42a8e4674ca83ae,0x832e4279012f34de383cd3bf262b167f6359a24b,,1.311902,0,1.311902,2598.208792,0.000359948,0.712872475,2963.17,,,Transfer
0x5ac3eeea40015fa7210ae4947bf03e5750d69895aa97da0a9b4cc322a796df68,14635310,1650638988,4/22/2022 14:49,0x832e4279012f34de383cd3bf262b167f6359a24b,0x56352d1ce408e7f1ccf355cb53fcd5041b352f4e,,0,1.3,1.3,2574.637,0.000394204,0.78071732,2963.17,,,Transfer
0x8278f585d8f3192783ee7f54b4c28bb2a830ffd13ea839bfe6f89a4f7114b67d,14791987,1652782871,5/17/2022 10:21,0x28c6c06298d514db089934071355e5743bf21d60,0x832e4279012f34de383cd3bf262b167f6359a24b,,6.4807,0,6.4807,12834.96154,0.000480345,0.95131859,2089.29,,,Transfer
0x883445a4f7720df22dc2f85e4bd358e51ef1885cbc4e5181593b8d8ab62f0181,14791995,1652782944,5/17/2022 10:22,0x832e4279012f34de383cd3bf262b167f6359a24b,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,6.4,6.4,12675.136,0.005095847,10.09227317,2089.29,,,0x7c025200
0x2d0a6b1b680976fa91490e2a41da5abfcde5b6aa41d8b9b54d972439404fd9bd,14799956,1652892521,5/18/2022 16:48,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x832e4279012f34de383cd3bf262b167f6359a24b,,6.78192,0,6.78192,13431.52474,0.001179934,2.336846562,1911.68,,,Transfer
0xe6fe09d6e028dcc466a9a592cd06ae0a844c8fc2b653750c3ec224df7a065e87,14799961,1652892588,5/18/2022 16:49,0x832e4279012f34de383cd3bf262b167f6359a24b,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,6.8,6.8,13467.332,0.014712933,29.13881757,1911.68,,,0x7c025200
0xd3177ca048860de4f0381fbcf40e2271e4029a71c7ed126585a061c5c2fcd8ca,14805261,1652967418,5/19/2022 13:36,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x832e4279012f34de383cd3bf262b167f6359a24b,,14.53085,0,14.53085,28778.20312,0.000516304,1.022534166,,,,Transfer
0x115c6ec13c9e27d8ca97758e781a98f0d0fbbbc182a502a3041632ad744d6b07,14805266,1652967469,5/19/2022 13:37,0x832e4279012f34de383cd3bf262b167f6359a24b,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,14.56,14.56,28835.9344,0.011320904,22.42093735,,,,0x7c025200
